Date,Time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-07,00:00:01,-0.02,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:00:02,-0.02,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:00:02,-0.02,0.02,1.00,0.06,-0.06,-0.79
2025-02-07,00:00:03,-0.02,0.02,1.00,0.12,0.06,-0.73
2025-02-07,00:00:03,-0.02,0.02,1.00,0.12,0.06,-0.79
2025-02-07,00:00:04,-0.02,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:00:04,-0.02,0.02,1.00,0.06,0.00,-0.73
2025-02-07,00:00:05,-0.02,0.02,1.00,0.06,-0.06,-0.73
2025-02-07,00:00:05,-0.02,0.02,1.00,0.06,0.06,-0.79
2025-02-07,00:00:06,-0.02,0.02,1.00,0.12,0.06,-0.73
2025-02-07,00:00:06,-0.02,0.02,1.00,0.06,-0.06,-0.73
2025-02-07,00:00:07,-0.02,0.02,1.00,0.06,0.00,-0.79
2025-02-07,00:00:07,-0.28,0.54,0.92,-13.92,7.45,-33.20
2025-02-07,00:00:08,0.14,3.51,-2.85,-34.12,28.63,16.30
2025-02-07,00:00:08,-0.46,3.93,-2.50,-42.30,-94.36,-220.46
2025-02-07,00:00:09,-0.18,-0.28,1.70,81.24,-151.00,-103.09
2025-02-07,00:00:09,-0.59,-2.85,2.92,-20.69,130.49,142.64
2025-02-07,00:00:10,-0.73,0.16,0.43,81.18,24.90,-10.56
2025-02-07,00:00:10,0.05,0.05,-0.53,-140.75,-247.74,208.31
2025-02-07,00:00:11,0.16,0.68,-0.37,55.30,76.84,220.28
2025-02-07,00:00:11,0.58,0.34,-0.94,-130.19,-32.59,67.57
2025-02-07,00:00:12,0.44,0.60,-0.65,-71.04,-27.59,103.82
2025-02-07,00:00:12,0.24,1.21,-0.64,-73.00,-38.88,87.65
2025-02-07,00:00:13,0.30,1.30,-0.75,-87.71,-122.74,80.26
2025-02-07,00:00:13,-0.06,2.06,-0.56,-87.89,-128.97,103.82
2025-02-07,00:00:14,-0.51,1.39,0.10,-131.71,-86.30,54.02
2025-02-07,00:00:14,-2.76,1.13,0.35,-55.97,-44.98,-18.55
2025-02-07,00:00:15,-0.08,1.01,0.73,-26.12,-75.87,-181.88
2025-02-07,00:00:15,2.41,0.00,3.65,45.78,-199.16,-72.88
2025-02-07,00:00:16,0.30,1.00,0.13,92.59,165.28,-30.58
2025-02-07,00:00:16,0.29,2.19,0.33,-63.23,-14.53,-208.44
2025-02-07,00:00:17,0.93,-0.93,1.76,145.32,98.02,-336.73
2025-02-07,00:00:17,0.78,-3.09,1.29,36.56,13.98,-108.52
2025-02-07,00:00:18,-0.18,-0.30,1.08,53.22,-147.83,-86.30
2025-02-07,00:00:18,-0.05,0.10,0.96,-1.95,-5.43,-90.21
2025-02-07,00:00:19,-0.01,0.02,1.00,0.06,-0.12,-0.79
2025-02-07,00:00:19,-0.01,0.02,1.00,0.06,-0.06,-0.79
2025-02-07,00:00:20,-0.01,0.02,1.00,0.12,0.12,-0.73
