Timesteps,Temperature
1,28.58
2,28.65
3,28.48
4,28.65
5,28.39
6,28.26
7,30.64
8,29.02
9,28.64
10,28.48
11,28.46
12,28.74
13,28.93
14,28.52
15,28.73
16,30.79
17,29.76
18,28.99
19,28.86
20,30.14
21,29.64
22,29.18
23,28.91
24,28.87
25,29.06
26,28.81
27,28.81
28,28.75
29,28.93
30,28.77
31,28.68
32,28.62
33,28.64
34,28.6
35,28.62
36,28.68
37,28.64
38,28.76
39,28.7
40,28.63
41,28.61
42,28.61
43,28.66
44,28.62
45,28.59
46,28.61
47,28.84
48,28.57
49,28.79
50,28.54
51,28.74
52,28.69
53,28.73
54,28.63
55,28.83
56,28.54
57,28.7
58,28.51
59,28.51
60,28.51
61,28.43
62,28.53
63,28.55
64,28.43
65,28.77
66,28.37
67,28.27
68,28.38
69,28.67
70,28.5
71,28.24
72,28.41
73,28.38
74,28.37
75,28.34
76,28.32
77,28.4
78,28.41
79,28.51
80,28.36
81,28.41
82,28.38
83,28.27
84,28.39
85,28.62
86,28.34
87,28.32
88,28.36
89,28.58
90,28.29
91,28.48
92,28.37
93,28.54
94,28.29
95,28.36
96,28.38
97,28.18
98,29.44
99,30.0
100,28.91
101,28.51
102,28.82
103,28.62
104,28.42
105,28.54
106,28.44
107,28.49
108,29.5
109,29.02
110,28.75
111,28.75
112,28.79
113,28.64
114,28.65
115,28.45
116,28.41
117,28.57
118,28.39
119,28.48
120,28.34
121,28.65
122,28.42
123,28.21
124,28.36
125,30.29
126,29.25
127,28.89
128,28.7
129,30.23
130,29.84
131,29.29
132,28.79
133,30.36
134,29.36
135,29.07
136,28.96
137,28.77
138,28.73
139,28.63
140,28.77
141,28.5
142,28.53
143,28.3
144,28.37
145,28.3
146,28.42
147,28.41
148,28.38
149,28.39
150,28.28
151,28.37
152,28.4
153,28.21
154,28.42
155,28.51
156,28.32
157,28.66
158,28.31
159,28.25
160,28.39
161,28.29
162,28.41
163,28.62
164,28.32
165,28.33
166,28.48
167,28.27
168,28.34
169,28.28
170,28.35
171,28.11
172,28.28
173,28.54
174,28.32
175,28.36
176,28.34
177,28.14
178,28.37
179,28.56
180,28.37
181,28.28
182,28.27
183,28.17
184,28.24
185,28.17
186,28.32
187,28.19
188,28.35
189,28.14
190,28.31
191,28.37
192,28.27
193,28.19
194,28.44
195,28.46
196,28.28
197,28.23
198,28.27
199,28.12
200,28.27
201,28.4
202,28.39
203,28.48
204,28.21
205,28.48
206,28.23
207,28.46
208,28.25
209,28.29
210,28.29
211,28.46
212,28.29
213,28.27
214,28.22
215,28.24
216,28.26
217,28.02
218,28.25
219,28.14
220,28.21
221,28.47
222,28.21
223,28.25
224,28.26
225,28.14
226,28.2
227,28.16
228,28.24
229,28.13
230,28.22
231,28.54
232,28.1
233,28.05
234,28.12
235,28.43
236,28.27
237,28.38
238,28.26
239,28.2
240,28.22
241,28.13
242,28.14
243,27.98
244,28.15
245,28.06
246,28.11
247,28.13
248,28.16
249,28.09
250,28.17
251,28.22
252,28.15
253,28.39
254,28.21
255,28.18
256,28.11
257,28.36
258,28.18
259,28.27
260,28.15
261,28.16
262,28.17
263,28.23
264,28.21
265,28.11
266,28.17
267,27.91
268,28.09
269,28.29
270,28.09
271,27.94
272,28.11
273,28.14
274,28.2
275,28.14
276,28.05
277,28.08
278,29.01
279,29.97
280,28.68
281,28.36
282,30.37
283,29.11
284,29.6
285,29.88
286,28.48
287,28.63
288,28.57
289,28.34
290,28.61
291,28.54
292,28.45
293,28.55
294,28.24
295,28.42
296,28.41
297,28.25
298,28.3
299,28.3
300,27.99
301,28.16
302,28.14
303,28.21
304,28.15
305,28.25
306,28.06
307,28.17
308,28.48
309,28.28
310,28.02
311,28.2
312,28.23
313,28.24
314,28.1
315,28.32
316,28.18
317,28.18
318,28.27
319,28.13
320,28.07
321,28.18
322,28.24
323,28.11
324,28.35
325,28.15
326,28.27
327,28.11
328,27.99
329,28.16
330,28.37
331,28.18
332,28.14
333,28.21
334,28.05
335,28.14
336,28.02
337,28.07
338,27.93
339,28.09
340,28.05
341,28.15
342,28.12
343,28.17
344,27.92
345,28.19
346,28.35
347,28.15
348,28.13
349,28.0
350,28.05
351,28.14
352,28.01
353,28.09
354,28.27
355,28.06
356,28.03
357,28.13
358,27.99
359,27.95
360,28.37
361,28.01
362,28.15
363,28.11
364,27.86
365,28.12
366,27.98
367,28.11
368,27.99
369,28.12
370,28.02
371,28.18
372,27.95
373,28.01
374,28.08
375,28.14
376,28.37
377,28.08
378,28.04
379,28.16
380,27.94
381,28.09
382,28.17
383,28.03
384,27.9
385,28.07
386,27.95
387,28.02
388,28.12
389,28.06
390,28.14
391,28.66
392,29.37
393,28.6
394,28.18
395,29.66
396,28.63
397,28.38
398,30.3
399,28.73
400,28.65
401,28.52
402,28.63
403,28.57
404,28.41
405,28.41
406,28.33
407,28.34
408,28.25
409,28.3
410,28.09
411,28.17
412,28.01
413,28.13
414,27.93
415,28.15
416,28.05
417,28.21
418,28.14
419,28.14
420,28.11
421,28.25
422,28.36
423,28.04
424,27.93
425,28.16
426,28.05
427,28.17
428,28.1
429,28.17
430,27.99
431,28.12
432,28.14
433,28.09
434,27.99
435,28.22
436,29.84
437,29.13
438,28.52
439,29.48
440,28.95
441,28.8
442,28.93
443,30.33
444,30.33
445,29.39
446,29.02
447,28.87
448,28.76
449,28.89
450,28.99
451,28.83
452,28.8
453,28.87
454,28.61
455,28.9
456,28.66
457,28.56
458,28.62
459,28.61
460,28.46
461,28.36
462,28.1
463,28.3
464,28.53
465,28.34
466,28.26
467,28.42
468,28.44
469,28.37
470,28.21
471,28.27
472,28.53
473,28.47
474,28.63
475,28.35
476,28.16
477,28.3
478,28.33
479,28.34
480,28.54
481,28.29
482,28.39
483,28.41
484,28.23
485,28.37
486,28.32
487,28.25
488,28.18
489,28.34
490,28.5
491,28.36
492,28.24
493,28.39
494,28.21
495,28.26
496,28.46
497,28.34
498,28.16
499,28.27
500,28.5
501,28.3
502,28.12
503,28.3
504,28.08
505,28.28
506,28.2
507,28.26
508,28.54
509,28.34
510,28.5
511,28.36
512,28.45
513,28.25
514,28.16
515,28.39
516,28.21
517,28.31
518,28.23
519,28.21
520,28.26
521,28.18
522,28.39
523,28.23
524,28.24
525,28.28
526,28.46
527,28.33
528,28.2
529,28.22
530,28.12
531,28.25
532,28.21
533,28.29
534,28.09
535,28.23
536,28.2
537,28.27
538,28.27
539,28.2
540,28.0
541,28.25
542,28.1
543,28.25
544,30.03
545,29.34
546,28.73
547,28.75
548,30.76
549,29.34
550,28.93
551,29.06
552,30.86
553,29.48
554,28.8
555,28.59
556,28.81
557,28.67
558,28.75
559,28.5
560,28.75
561,28.63
562,28.54
563,28.58
564,28.45
565,28.36
566,28.52
567,28.33
568,28.41
569,28.39
570,28.32
571,28.37
572,28.39
573,28.21
574,28.49
575,28.42
576,28.27
577,28.35
578,28.25
579,28.36
580,28.41
581,28.37
582,28.51
583,28.25
584,28.27
585,28.37
586,28.51
587,28.31
588,28.34
589,28.41
590,28.36
591,28.31
592,28.16
593,28.31
594,28.38
595,28.44
596,28.27
597,28.39
598,28.17
599,28.32
600,28.38
601,28.36
602,28.29
603,28.35
604,28.57
605,28.34
606,28.31
607,28.3
608,28.34
609,28.35
610,28.11
611,28.3
612,28.36
613,28.4
614,28.47
615,28.3
616,28.36
617,28.33
618,28.27
619,28.34
620,28.21
621,28.3
622,28.27
623,28.23
624,28.15
625,28.28
626,28.18
627,28.25
628,28.38
629,28.26
630,28.14
631,28.38
632,28.18
633,28.29
634,28.36
635,28.26
636,28.07
637,28.28
638,28.33
639,28.36
640,28.3
641,28.34
642,28.26
643,28.24
644,28.18
645,28.24
646,28.22
647,28.27
648,28.23
649,28.27
650,28.14
651,29.25
652,29.2
653,28.61
654,28.98
655,30.16
656,29.23
657,28.82
658,28.84
659,28.87
660,28.71
661,28.73
662,28.67
663,28.47
664,28.55
665,28.59
666,31.12
667,29.62
668,29.03
669,29.05
670,29.04
671,28.93
672,29.06
673,30.88
674,29.84
675,29.13
676,28.78
677,28.7
678,28.87
679,28.86
680,28.69
681,30.84
682,30.21
683,29.6
684,29.17
685,29.58
686,29.04
687,29.03
688,29.0
689,28.75
690,28.86
691,28.8
692,29.15
693,31.16
694,29.48
695,29.14
696,29.12
697,29.23
698,29.17
699,29.22
700,29.14
701,29.21
702,29.2
703,29.21
704,29.0
705,30.12
706,30.25
707,29.32
708,29.18
709,29.01
710,29.05
711,29.07
712,28.84
713,28.86
714,28.93
715,28.86
716,28.8
717,28.91
718,28.89
719,28.82
720,28.82
721,28.62
722,28.45
723,28.59
724,28.56
725,30.96
726,29.33
